Time,,cpu_usagePercentCores
2018/10/04 23:40:00,PDT, No Data
2018/10/05 01:50:00,PDT, No Data
2018/10/05 04:00:00,PDT, No Data
2018/10/05 06:10:00,PDT, No Data
2018/10/05 08:20:00,PDT, No Data
2018/10/05 10:30:00,PDT, No Data
2018/10/05 12:40:00,PDT, No Data
2018/10/05 14:50:00,PDT, No Data
2018/10/05 17:00:00,PDT, No Data
2018/10/05 19:10:00,PDT, No Data
2018/10/05 21:20:00,PDT, No Data
2018/10/05 23:30:00,PDT, No Data
2018/10/06 01:40:00,PDT, No Data
2018/10/06 03:50:00,PDT, No Data
2018/10/06 06:00:00,PDT, No Data
2018/10/06 08:10:00,PDT, No Data
2018/10/06 10:20:00,PDT, No Data
2018/10/06 12:30:00,PDT, No Data
2018/10/06 14:40:00,PDT, No Data
2018/10/06 16:50:00,PDT, No Data
2018/10/06 19:00:00,PDT, No Data
2018/10/06 21:10:00,PDT, No Data
2018/10/06 23:20:00,PDT, No Data
2018/10/07 01:30:00,PDT, No Data
2018/10/07 03:40:00,PDT, No Data
2018/10/07 05:50:00,PDT, No Data
2018/10/07 08:00:00,PDT, No Data
2018/10/07 10:10:00,PDT, No Data
2018/10/07 12:20:00,PDT, No Data
2018/10/07 14:30:00,PDT, No Data
2018/10/07 16:40:00,PDT, No Data
2018/10/07 18:50:00,PDT, No Data
2018/10/07 21:00:00,PDT, No Data
2018/10/07 23:10:00,PDT, No Data
2018/10/08 01:20:00,PDT, No Data
2018/10/08 03:30:00,PDT, No Data
2018/10/08 05:40:00,PDT, No Data
2018/10/08 07:50:00,PDT, No Data
2018/10/08 10:00:00,PDT, No Data
2018/10/08 12:10:00,PDT, No Data
2018/10/08 14:20:00,PDT, No Data
2018/10/08 16:30:00,PDT, No Data
2018/10/08 18:40:00,PDT, No Data
2018/10/08 20:50:00,PDT, No Data
2018/10/08 23:00:00,PDT, No Data
2018/10/09 01:10:00,PDT, No Data
2018/10/09 03:20:00,PDT, No Data
2018/10/09 05:30:00,PDT, No Data
2018/10/09 07:40:00,PDT, No Data
2018/10/09 09:50:00,PDT, No Data
2018/10/09 12:00:00,PDT, No Data
2018/10/09 14:10:00,PDT, No Data
2018/10/09 16:20:00,PDT, No Data
2018/10/09 18:30:00,PDT, No Data
2018/10/09 20:40:00,PDT, No Data
2018/10/09 22:50:00,PDT, No Data
2018/10/10 01:00:00,PDT, No Data
2018/10/10 03:10:00,PDT, No Data
2018/10/10 05:20:00,PDT, No Data
2018/10/10 07:30:00,PDT, No Data
2018/10/10 09:40:00,PDT, No Data
2018/10/10 11:50:00,PDT, No Data
2018/10/10 14:00:00,PDT, No Data
2018/10/10 16:10:00,PDT, No Data
2018/10/10 18:20:00,PDT, No Data
2018/10/10 20:30:00,PDT, No Data
2018/10/10 22:40:00,PDT, No Data
2018/10/11 00:50:00,PDT, No Data
2018/10/11 03:00:00,PDT, No Data
2018/10/11 05:10:00,PDT, No Data
2018/10/11 07:20:00,PDT, No Data
2018/10/11 09:30:00,PDT, No Data
2018/10/11 11:40:00,PDT, No Data
2018/10/11 13:50:00,PDT, No Data
2018/10/11 16:00:00,PDT, No Data
2018/10/11 18:10:00,PDT, No Data
2018/10/11 20:20:00,PDT, No Data
2018/10/11 22:30:00,PDT, No Data
2018/10/12 00:40:00,PDT, No Data
2018/10/12 02:50:00,PDT, No Data
2018/10/12 05:00:00,PDT, No Data
2018/10/12 07:10:00,PDT, No Data
2018/10/12 09:20:00,PDT, No Data
2018/10/12 11:30:00,PDT, No Data
2018/10/12 13:40:00,PDT, No Data
2018/10/12 15:50:00,PDT, No Data
2018/10/12 18:00:00,PDT, No Data
2018/10/12 20:10:00,PDT, No Data
2018/10/12 22:20:00,PDT, No Data
2018/10/13 00:30:00,PDT, No Data
2018/10/13 02:40:00,PDT, No Data
2018/10/13 04:50:00,PDT, No Data
2018/10/13 07:00:00,PDT, No Data
2018/10/13 09:10:00,PDT, No Data
2018/10/13 11:20:00,PDT, No Data
2018/10/13 13:30:00,PDT, No Data
2018/10/13 15:40:00,PDT, No Data
2018/10/13 17:50:00,PDT, No Data
2018/10/13 20:00:00,PDT, No Data
2018/10/13 22:10:00,PDT, No Data
2018/10/14 00:20:00,PDT, No Data
2018/10/14 02:30:00,PDT, No Data
2018/10/14 04:40:00,PDT, No Data
2018/10/14 06:50:00,PDT, No Data
2018/10/14 09:00:00,PDT, No Data
2018/10/14 11:10:00,PDT, No Data
2018/10/14 13:20:00,PDT, No Data
2018/10/14 15:30:00,PDT, No Data
2018/10/14 17:40:00,PDT, No Data
2018/10/14 19:50:00,PDT, No Data
2018/10/14 22:00:00,PDT, No Data
2018/10/15 00:10:00,PDT, No Data
2018/10/15 02:20:00,PDT, No Data
2018/10/15 04:30:00,PDT, No Data
2018/10/15 06:40:00,PDT, No Data
2018/10/15 08:50:00,PDT, No Data
2018/10/15 11:00:00,PDT, No Data
2018/10/15 13:10:00,PDT, No Data
