Time,,cpu_usagePercentCores
2018/12/07 11:56:00,PST,11.347954545454549
2018/12/07 12:40:00,PST,10.834772727272727
2018/12/07 13:24:00,PST,10.783409090909089
2018/12/07 14:08:00,PST,11.71022727272727
2018/12/07 14:52:00,PST,11.590681818181814
2018/12/07 15:36:00,PST,11.481363636363632
2018/12/07 16:20:00,PST,11.09068181818182
2018/12/07 17:04:00,PST,11.289090909090909
2018/12/07 17:48:00,PST,10.664772727272727
2018/12/07 18:32:00,PST,10.7425
2018/12/07 19:16:00,PST,11.363863636363638
2018/12/07 20:00:00,PST,11.384090909090908
2018/12/07 20:44:00,PST,10.995227272727272
2018/12/07 21:28:00,PST,11.969090909090909
2018/12/07 22:12:00,PST,11.287045454545456
2018/12/07 22:56:00,PST,11.428181818181816
2018/12/07 23:40:00,PST,11.1775
2018/12/08 00:24:00,PST,11.382272727272728
2018/12/08 01:08:00,PST,11.523636363636369
2018/12/08 01:52:00,PST,11.600454545454546
2018/12/08 02:36:00,PST,11.499090909090908
2018/12/08 03:20:00,PST,11.613636363636365
2018/12/08 04:04:00,PST,12.31318181818182
2018/12/08 04:48:00,PST,11.277272727272724
2018/12/08 05:32:00,PST,11.462954545454544
2018/12/08 06:16:00,PST,10.683181818181813
2018/12/08 07:00:00,PST,11.314999999999998
2018/12/08 07:44:00,PST,12.145454545454548
2018/12/08 08:28:00,PST,11.147045454545456
2018/12/08 09:12:00,PST,11.822954545454548
2018/12/08 09:56:00,PST,10.866818181818184
2018/12/08 10:40:00,PST,11.617727272727274
2018/12/08 11:24:00,PST,10.833409090909091
2018/12/08 12:08:00,PST,10.35477272727273
2018/12/08 12:52:00,PST,11.109999999999998
2018/12/08 13:36:00,PST,12.038636363636364
2018/12/08 14:20:00,PST,10.804772727272725
2018/12/08 15:04:00,PST,11.318863636363634
2018/12/08 15:48:00,PST,11.469090909090907
2018/12/08 16:32:00,PST,12.019772727272727
2018/12/08 17:16:00,PST,11.409090909090908
2018/12/08 18:00:00,PST,11.915454545454544
2018/12/08 18:44:00,PST,11.621136363636364
2018/12/08 19:28:00,PST,10.727954545454544
2018/12/08 20:12:00,PST,11.183181818181817
2018/12/08 20:56:00,PST,11.38795454545455
2018/12/08 21:40:00,PST,11.152045454545457
2018/12/08 22:24:00,PST,11.543181818181818
2018/12/08 23:08:00,PST,11.138181818181819
2018/12/08 23:52:00,PST,11.208863636363638
2018/12/09 00:36:00,PST,11.241818181818182
2018/12/09 01:20:00,PST,11.188181818181814
2018/12/09 02:04:00,PST,11.021590909090909
2018/12/09 02:48:00,PST,11.488181818181816
2018/12/09 03:32:00,PST,11.740000000000002
2018/12/09 04:16:00,PST,10.594545454545454
2018/12/09 05:00:00,PST,11.087954545454549
2018/12/09 05:44:00,PST,10.646136363636366
2018/12/09 06:28:00,PST,11.267954545454542
2018/12/09 07:12:00,PST,11.979318181818183
2018/12/09 07:56:00,PST,11.855227272727275
2018/12/09 08:40:00,PST,11.196590909090908
2018/12/09 09:24:00,PST,10.913636363636362
2018/12/09 10:08:00,PST,10.517272727272728
2018/12/09 10:52:00,PST,10.44931818181818
2018/12/09 11:36:00,PST,11.175454545454548
2018/12/09 12:20:00,PST,11.398863636363638
2018/12/09 13:04:00,PST,11.298181818181817
